,county,date,state,fips,cases,deaths,new_cases,new_deaths,rolling_cases,rolling_deaths,14_day_diff,14_day_pct,active_cases,population,pop_2010,pop_change,pop_census,under_5,under_18,over_65,women,white,black,native_american,asian,pacific_islander,two_or_more_races,hispanic,white_not_hispanic,veterans,foreign_born,housing_units,owner_occupied_housing_units,med_value,med_owner_costs_w_mortgage,med_owner_costs_no_mortgage,median_rent,building permits,households,ppl_per_household,same_house_1_year,language_non_english,households_w_computer,households_w_broadband,high_school_grad,college_grad,disability,ppl_without_health_insurance,labor_force,women_labor_force,accom_food_sales,healthcare_revenue,manufacturer_shipments,merchant_wholesale_items,retail_sales,retail_sales_per_capita,commute_time,median_household_income,per_capita_income,poverty,hospital_beds,cases_per_1000,deaths_per_1000,deaths_per_cases,PCA1,PCA2,area,population_density,County,Trump,Biden,Total,biden_share,trump_share,vote_difference
0,Lexington,2021-08-10,South Carolina,45063.0,37775,486.0,163.0,0.0,229.85714285714286,0.5714285714285714,58.0,55.23809523809525,2762.0,295032.0,262429.0,0.124,262391.0,0.058,0.231,0.158,0.513,0.7979999999999999,0.155,0.005,0.022,0.001,0.019,0.063,0.745,21818.0,0.051,126197.0,0.74,151900.0,1191.0,372.0,907.0,1896.0,111265.0,2.54,0.862,0.071,0.8959999999999999,0.805,0.8959999999999999,0.301,0.096,0.121,0.648,0.601,455202.0,1058785.0,3620311.0,3889289.0,3974471.0,14698.0,25.7,59593.0,30316.0,0.125,1883.0,128.03695870278477,1.6472789392337102,0.0128656518861681,7.308733020151086,-0.6280630300028869,758,389.22427440633237,Lexington,92817,49301,144568,0.34102290963422055,0.6420300481434342,0.3010071385092137
1,Lee,2021-08-10,South Carolina,45061.0,2039,65.0,11.0,0.0,5.285714285714286,0.0,9.0,450.0,66.0,17142.0,19213.0,-0.108,19220.0,0.051,0.201,0.184,0.486,0.338,0.642,0.004,0.004,0.0,0.011,0.025,0.321,919.0,0.009000000000000001,7775.0,0.732,73300.0,1005.0,322.0,644.0,11.0,6357.0,2.51,0.929,0.025,0.731,0.5329999999999999,0.787,0.123,0.154,0.118,0.443,0.456,10117.0,18858.0,0.0,138176.0,86039.0,4612.0,26.7,31651.0,17544.0,0.281,0.0,118.94761404736904,3.7918562594796414,0.03187837175085827,-6.238477444975223,-0.41373068073215613,411,41.708029197080286,Lee,3008,5329,8431,0.6320721148143755,0.35677855533151465,-0.2752935594828609
2,Laurens,2021-08-10,South Carolina,45059.0,7805,172.0,13.0,0.0,15.285714285714285,0.0,-5.0,-27.777777777777786,162.0,66994.0,66535.0,0.006999999999999999,66537.0,0.057,0.218,0.185,0.517,0.72,0.254,0.004,0.006,0.001,0.015,0.051,0.679,4317.0,0.025,31503.0,0.7040000000000001,91300.0,1022.0,322.0,733.0,161.0,25373.0,2.54,0.838,0.046,0.8079999999999999,0.679,0.805,0.154,0.14800000000000002,0.141,0.568,0.529,56628.0,179011.0,1728181.0,115220.0,412059.0,6222.0,24.8,41578.0,21743.0,0.197,57.0,116.50297041526107,2.567394094993581,0.022037155669442664,-1.3809402033722131,-0.3483679936622464,724,92.53314917127071,Laurens,20004,10159,30488,0.3332130674363684,0.656127000787195,0.3229139333508266
3,Hampton,2021-08-10,South Carolina,45049.0,2123,53.0,17.0,0.0,11.142857142857142,0.14285714285714285,11.0,183.3333333333333,125.0,19351.0,21090.0,-0.08199999999999999,21090.0,0.053,0.213,0.184,0.488,0.438,0.537,0.005,0.006,0.0,0.014,0.041,0.41,1252.0,0.026,9169.0,0.738,73000.0,1032.0,300.0,551.0,6.0,6924.0,2.66,0.921,0.046,0.764,0.6559999999999999,0.8240000000000001,0.114,0.08800000000000001,0.123,0.525,0.516,16608.0,39766.0,156598.0,118236.0,164812.0,7952.0,31.1,32453.0,17523.0,0.258,32.0,109.7100925016795,2.7388765438478635,0.024964672633066416,-4.305069226963289,-0.9770367347789196,563,34.371225577264646,Hampton,3906,5323,9305,0.5720580333154218,0.4197743148844707,-0.15228371843095112
4,Kershaw,2021-08-10,South Carolina,45055.0,8480,144.0,39.0,0.0,52.85714285714285,0.0,21.0,116.66666666666666,620.0,65592.0,61592.0,0.065,61697.0,0.059,0.231,0.183,0.518,0.7240000000000001,0.247,0.004,0.008,0.001,0.017,0.044,0.688,6120.0,0.022,29381.0,0.8220000000000001,124700.0,1115.0,344.0,745.0,292.0,24833.0,2.58,0.927,0.043,0.8190000000000001,0.687,0.865,0.199,0.113,0.117,0.5710000000000001,0.5329999999999999,55473.0,0.0,1419717.0,43516.0,586319.0,9405.0,27.1,49392.0,24253.0,0.145,123.0,129.2840590315892,2.1953896816684964,0.016981132075471698,-0.4370245932479621,0.5000494486040228,740,88.63783783783785,Kershaw,20471,12699,33629,0.3776205061107972,0.6087305599333909,0.23111005382259364
5,Jasper,2021-08-10,South Carolina,45053.0,2760,50.0,20.0,0.0,23.142857142857146,0.14285714285714285,17.0,566.6666666666667,249.0,28971.0,24779.0,0.16899999999999998,24777.0,0.057,0.203,0.194,0.495,0.546,0.42,0.009000000000000001,0.009000000000000001,0.001,0.015,0.132,0.433,2250.0,0.08800000000000001,12072.0,0.685,154400.0,1190.0,388.0,906.0,447.0,9982.0,2.74,0.8640000000000001,0.128,0.7709999999999999,0.64,0.815,0.16899999999999998,0.119,0.204,0.599,0.5379999999999999,32320.0,89844.0,46243.0,146790.0,574808.0,22251.0,30.2,41930.0,22406.0,0.19,41.0,95.26768147457805,1.7258637948293116,0.018115942028985508,0.2057508373413165,0.6679584834163671,700,41.387142857142855,Jasper,7078,7185,14394,0.4991663192997082,0.4917326663887731,-0.007433652910935118
6,Horry,2021-08-10,South Carolina,45051.0,44647,606.0,233.0,3.0,263.2857142857143,1.2857142857142858,119.0,104.38596491228071,3331.0,344147.0,269126.0,0.279,269291.0,0.046,0.179,0.24,0.518,0.8270000000000001,0.131,0.006,0.014,0.001,0.021,0.061,0.775,27893.0,0.061,210698.0,0.708,172500.0,1229.0,389.0,915.0,4520.0,128586.0,2.46,0.851,0.07400000000000001,0.902,0.8140000000000001,0.898,0.236,0.12,0.174,0.568,0.524,1716688.0,1274110.0,759758.0,734255.0,5240156.0,18563.0,22.3,48279.0,26917.0,0.14300000000000002,690.0,129.73235274461206,1.7608754398556432,0.013573140412569714,7.495200806334057,2.4489477429026816,1255,274.2207171314741,Horry,118821,59180,179744,0.3292460388107531,0.6610568363895318,0.33181079757877874
7,Lancaster,2021-08-10,South Carolina,45057.0,11641,176.0,31.0,1.0,36.142857142857146,0.14285714285714285,18.0,138.46153846153842,439.0,95380.0,76653.0,0.244,76652.0,0.061,0.218,0.21,0.515,0.7490000000000001,0.21600000000000005,0.003,0.015,0.0,0.016,0.056,0.7,6044.0,0.04,38541.0,0.782,182400.0,1217.0,350.0,753.0,1228.0,32632.0,2.68,0.879,0.063,0.853,0.759,0.8640000000000001,0.269,0.098,0.133,0.569,0.535,65913.0,229041.0,1292486.0,719744.0,732889.0,9267.0,29.8,55223.0,29271.0,0.133,215.0,122.04864751520235,1.8452505766408047,0.015118976032986856,1.9072775582470145,1.5469393072413993,555,171.85585585585582,Lancaster,30312,18937,49868,0.37974252025346916,0.607844710034491,0.22810218978102187
8,Marion,2021-08-10,South Carolina,45067.0,3855,108.0,17.0,0.0,19.428571428571427,0.0,3.0,21.428571428571427,197.0,31039.0,33062.0,-0.061,33062.0,0.059,0.228,0.199,0.542,0.403,0.569,0.006999999999999999,0.006999999999999999,0.0,0.014,0.029,0.384,1928.0,0.021,14956.0,0.706,76700.0,920.0,354.0,559.0,77.0,11538.0,2.72,0.903,0.038,0.706,0.48,0.8079999999999999,0.14400000000000002,0.128,0.136,0.51,0.488,31960.0,51214.0,214095.0,208397.0,239046.0,7365.0,31.5,33046.0,19992.0,0.255,94.0,124.1985888720642,3.479493540384677,0.02801556420233463,-4.642482323573737,-2.0820484282963907,494,62.83198380566802,Marion,5711,8872,14704,0.6033732317736671,0.3883977149075082,-0.2149755168661589
9,Union,2021-08-10,South Carolina,45087.0,3342,82.0,3.0,0.0,9.0,0.0,-2.0,-40.0,111.0,27410.0,28972.0,-0.054000000000000006,28961.0,0.058,0.212,0.203,0.526,0.653,0.322,0.003,0.004,0.001,0.018000000000000002,0.017,0.642,1796.0,0.006,14095.0,0.693,77300.0,933.0,328.0,664.0,26.0,11544.0,2.35,0.87,0.009000000000000001,0.7559999999999999,0.62,0.8140000000000001,0.121,0.15,0.121,0.562,0.525,20987.0,0.0,524484.0,43431.0,195675.0,6926.0,27.7,40120.0,22372.0,0.204,49.0,121.92630426851515,2.991608901860635,0.024536205864751647,-3.25945659103438,-0.4736380818031751,516,53.12015503875969,Union,8183,4935,13257,0.3722561665535189,0.6172588066681753,0.24500264011465644
